student_id,name,gender,age,grade_level,math_score,reading_score,writing_score,attendance_rate,parent_education,study_hours,internet_access,lunch_type,extra_activities,final_result
S1,Student_1,Other,17,10,74,61,90,94.66000214445246,3,4.120192348160174,1,0,1,0
S2,Student_2,Male,17,12,99,70,91,93.17322709879534,2,2.8865054607810468,0,0,0,1
S3,Student_3,Other,17,9,59,60,99,98.63109828618964,4,1.90992641477416,0,0,0,0
S4,Student_4,Other,17,12,70,88,69,96.41962034598282,4,1.6647399984389968,0,1,0,1
S5,Student_5,Male,15,9,85,77,94,91.33210517810926,4,2.3309179060415164,1,0,0,1
S6,Student_6,Male,17,11,61,54,89,93.14060996468214,3,4.759697491542836,0,0,1,0
S7,Student_7,Other,16,9,76,66,88,97.9677293316807,2,2.372106850360097,1,0,0,1
S8,Student_8,Female,16,11,89,69,98,87.99037569173869,4,4.952496303818542,0,1,1,1
S9,Student_9,Other,17,12,51,90,72,86.53589411715555,1,2.9409218230614247,0,1,0,1
S10,Student_10,Other,17,11,62,95,96,80.21622167270392,2,1.7166556731606035,1,1,1,0
S11,Student_11,Other,16,12,81,61,81,96.53102148382928,1,4.564560367174037,1,0,1,1
S12,Student_12,Other,16,10,80,55,96,96.0196140080673,1,2.8414214925393075,0,0,1,1
S13,Student_13,Male,15,10,65,66,82,82.08909036200303,4,3.8386853740180977,0,0,1,1
S14,Student_14,Other,16,10,81,68,95,91.537147622654,4,4.934846332836607,1,1,1,0
S15,Student_15,Female,16,11,81,75,54,89.27963396333774,3,1.200701401279896,0,0,0,0
S16,Student_16,Male,17,10,83,97,92,82.37418191018223,3,1.3867782391502683,1,1,1,0
S17,Student_17,Female,16,9,60,93,97,99.61136454121448,3,3.8818269658510247,1,1,0,0
S18,Student_18,Female,15,12,59,93,83,84.29391774926711,2,2.127300013181888,0,1,1,0
S19,Student_19,Female,16,12,64,81,89,81.34468360181123,3,1.7372055878003962,1,1,1,1
S20,Student_20,Female,17,9,66,55,60,91.8969475900382,1,1.157447519278918,1,1,0,0
S21,Student_21,Male,17,11,89,85,99,94.77733354266066,3,1.0873868479448072,1,0,1,0
S22,Student_22,Male,16,11,67,87,52,80.64886892094374,4,4.097942412479164,0,0,1,1
S23,Student_23,Female,17,12,58,60,82,93.17435277454044,3,1.5377337094782,1,1,1,0
S24,Student_24,Female,15,10,74,82,60,90.64583751902909,2,2.870882463884604,0,0,1,1
S25,Student_25,Male,15,11,89,73,65,82.06530017750097,2,3.423587260717932,0,0,0,0
S26,Student_26,Male,16,11,63,72,67,83.45047753892725,1,2.713407202275385,0,1,1,1
S27,Student_27,Male,16,9,74,64,79,91.3594859463216,2,1.1084266093449324,1,1,1,1
S28,Student_28,Other,16,9,99,76,97,85.92715227026576,3,4.134006010351635,1,0,0,0
S29,Student_29,Other,17,10,71,60,59,98.76631457302632,4,1.042052898166614,0,0,0,0
S30,Student_30,Other,15,11,79,99,67,96.37480458968102,2,4.047559577509936,0,0,1,1
S31,Student_31,Female,15,11,69,66,87,99.67134413027328,1,4.573217975152491,1,0,1,1
S32,Student_32,Other,17,9,70,63,68,85.19341677900827,3,2.731359684228689,0,1,0,1
S33,Student_33,Female,15,11,93,76,85,99.39447265595952,1,3.142169892391193,0,0,1,1
S34,Student_34,Female,16,12,81,67,62,88.62467739583116,2,2.907933570470615,1,1,0,1
S35,Student_35,Other,16,9,95,77,95,86.9503759062751,2,2.5568344744937552,0,1,1,1
S36,Student_36,Female,16,10,98,96,52,81.00699053938706,1,4.549698141481441,1,0,0,1
S37,Student_37,Other,15,9,70,96,59,81.05530515719205,3,4.5757340426799615,1,0,0,0
S38,Student_38,Other,16,11,84,53,87,93.84022511893308,2,2.343265458566138,0,0,0,1
S39,Student_39,Male,17,10,81,56,50,89.15857988868056,4,3.460279016058792,1,1,1,0
